OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97300959,Sample-Routine,Water,Surface Water,1972-11-07,14:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,12.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97300959,Sample-Routine,Water,Surface Water,1972-11-07,14:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, air, deg C",,13.0,deg C,,Historical,,Actual,,,,,,,00020,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97300959,Sample-Routine,Water,Surface Water,1972-11-07,14:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,71300,ft3/s,,Historical,,Actual,,,,,,,00061,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97300959,Sample-Routine,Water,Surface Water,1972-11-07,14:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,2020,m3/sec,,Historical,,Actual,,,,,,,30209,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,3.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, air, deg C",,7.5,deg C,,Historical,,Actual,,,,,,,00020,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,62200,ft3/s,,Historical,,Actual,,,,,,,00061,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,290,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Acidity, (H+)",Total,0.00004,mg/l,,Historical,,Actual,,,,,,,00191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
